,날짜,종가,전일비,시가,고가,저가,거래량
0,2024.04.24,179800,8800,178900,180200,176300,4188776
1,2024.04.23,171000,-600,172600,173700,169700,3975371
2,2024.04.22,171600,-1700,170700,172400,167000,5882906
3,2024.04.19,173300,-9000,177200,178500,169500,7545976
4,2024.04.18,182300,3600,176000,183300,175400,4170243
5,2024.04.17,178700,-400,179600,182500,177700,4340591
6,2024.04.16,179100,-9100,184400,185500,178300,4956035
7,2024.04.15,188200,800,185400,188400,183000,2672047
8,2024.04.12,187400,-1000,188700,191400,187000,3097301
9,2024.04.11,188400,5500,182900,188400,182400,4098231
10,2024.04.09,182900,1700,182300,185300,181700,2302751
11,2024.04.08,181200,-1600,183900,183900,180000,3278855
12,2024.04.05,182800,-5200,184800,187600,181800,4043133
13,2024.04.04,188000,8800,184400,188500,184000,5344102
14,2024.04.03,179200,-7100,182000,183700,178200,5416518
15,2024.04.02,186300,800,188000,190000,184400,4207759
16,2024.04.01,185500,2500,186400,190500,185000,2723474
17,2024.03.29,183000,4800,179200,183900,177600,3035080
18,2024.03.28,178200,-3000,178000,182100,178000,3424716
19,2024.03.27,181200,4600,176700,183000,175600,5774536
20,2024.03.26,176600,7200,172000,179500,171900,6549669
21,2024.03.25,169400,-400,170500,174800,168500,3434516
22,2024.03.22,169800,-200,169000,173900,167400,5400916
23,2024.03.21,170000,13500,165200,171400,162600,9205769
24,2024.03.20,156500,-3700,160200,161400,154100,5692523
25,2024.03.19,160200,-4100,161700,161800,157600,4159293
26,2024.03.18,164300,3100,161200,164500,161000,2696598
27,2024.03.15,161200,-700,159600,162900,158600,4099531
28,2024.03.14,161900,-1700,163600,164200,161100,3655060
29,2024.03.13,163600,-2100,168600,169700,162000,5072935
30,2024.03.12,165700,-900,166100,167200,164000,3102706
31,2024.03.11,166600,-5300,165000,168900,164700,3450905
32,2024.03.08,171900,7000,169800,174900,169300,5089650
33,2024.03.07,164900,2000,164500,165900,161000,3052700
34,2024.03.06,162900,-2900,164100,165500,162700,2672526
35,2024.03.05,165800,-700,165100,169000,164100,3612530
36,2024.03.04,166500,10300,161000,168100,160700,5230909
37,2024.02.29,156200,-1800,154900,158400,154500,3386307
38,2024.02.28,158000,4200,154500,159200,153800,3666960
39,2024.02.27,153800,-8000,159000,160000,153300,6107954
40,2024.02.26,161800,400,158400,164800,158400,4329477
41,2024.02.23,161400,4900,166900,166900,159800,7012032
42,2024.02.22,156500,7500,154500,156500,152600,5966352
43,2024.02.21,149000,-600,147100,152200,147100,4278500
44,2024.02.20,149600,-1700,150300,151100,147500,3507601
45,2024.02.19,151300,4500,146200,153200,146000,3997323
46,2024.02.16,146800,-1900,150600,150600,145700,3265836
47,2024.02.15,148700,0,151300,152700,148000,3560211
48,2024.02.14,148700,-1300,146300,149200,144900,4396924
49,2024.02.13,150000,7200,146800,150000,145000,6902585
50,2024.02.08,142800,4800,139000,143000,137900,5780714
51,2024.02.07,138000,0,136600,138500,135500,3348045
52,2024.02.06,138000,5700,133700,138400,132000,4672324
53,2024.02.05,132300,-2600,134900,135800,131700,3300954
54,2024.02.02,134900,2200,132300,135300,132200,3708253
55,2024.02.01,132700,-2000,133100,135600,131700,3778274
56,2024.01.31,134700,-2200,134800,136600,133600,2815362
57,2024.01.30,136900,1900,135300,137800,134400,2297631
58,2024.01.29,135000,-1000,135500,137000,135000,2311854
59,2024.01.26,136000,-1400,136200,138600,136000,3247410
60,2024.01.25,137400,-4100,142700,143700,136900,4708651
61,2024.01.24,141500,700,140000,141700,137600,2580665
62,2024.01.23,140800,-1800,142300,142800,138300,2912611
63,2024.01.22,142600,1300,145200,145400,142300,3784276
64,2024.01.19,141300,5100,138700,141300,137400,4946040
65,2024.01.18,136200,5200,131500,136800,130600,3050556
66,2024.01.17,131000,-1100,133800,134500,129000,3822702
67,2024.01.16,132100,-2000,132600,133700,131100,3670169
68,2024.01.15,134100,0,134800,135100,133300,1858867
69,2024.01.12,134100,-1900,136400,137300,133400,1878915
70,2024.01.11,136000,2500,132400,137100,132400,3594909
71,2024.01.10,133500,-3900,137700,138100,132100,3769252
72,2024.01.09,137400,1400,139000,139500,136600,3473806
73,2024.01.08,136000,-1500,137500,137900,135400,2498302
74,2024.01.05,137500,1100,135800,137500,135800,1846781
75,2024.01.04,136400,-400,136800,138800,135800,2661970
76,2024.01.03,136800,-5600,140000,140800,136800,3257820
77,2024.01.02,142400,900,139700,142800,139700,2147458
78,2023.12.28,141500,1100,140900,141600,139500,2459473
79,2023.12.27,140400,-500,140800,141600,139200,2336777
80,2023.12.26,140900,300,142000,142000,139400,2239789
81,2023.12.22,140600,100,142700,143700,140600,3183709
82,2023.12.21,140500,0,139200,140600,138100,2737124
83,2023.12.20,140500,2300,139900,140800,139300,3108011
84,2023.12.19,138200,-1800,140000,140800,138100,2309721
85,2023.12.18,140000,0,139000,140800,138900,2540812
86,2023.12.15,140000,3300,137000,140000,137000,5011719
87,2023.12.14,136700,5500,133700,138300,133600,8217135
88,2023.12.13,131200,200,130000,132400,130000,2852873
89,2023.12.12,131000,2100,130600,131900,130500,3126577
