시군구   ,읍면동,차종,계,비사업용_소계,비사업용_경형,비사업용_소형,비사업용_중형,비사업용_대형,사업용_소계,사업용_경형,사업용_소형,사업용_중형,사업용_대형,데이터기준일자
수정구,신흥동,승용,15880,15726,1333,235,9776,4382,154,2,0,121,31,2024-03-31
수정구,신흥동,승합,489,479,37,34,394,14,10,0,0,1,9,2024-03-31
수정구,신흥동,화물,1684,1465,55,1273,119,18,219,9,154,45,11,2024-03-31
수정구,신흥동,특수,61,33,0,31,2,0,28,0,9,14,5,2024-03-31
수정구,태평동,승용,12705,12376,1473,288,7592,3023,329,17,0,280,32,2024-03-31
수정구,태평동,승합,538,507,45,48,407,7,31,0,0,7,24,2024-03-31
수정구,태평동,화물,2166,1921,78,1661,144,38,245,15,167,35,28,2024-03-31
수정구,태평동,특수,78,34,0,29,3,2,44,0,19,17,8,2024-03-31
수정구,수진동,승용,6879,6825,747,147,4185,1746,54,0,0,42,12,2024-03-31
수정구,수진동,승합,391,349,29,17,300,3,42,0,0,2,40,2024-03-31
수정구,수진동,화물,1158,948,34,821,78,15,210,6,108,35,61,2024-03-31
수정구,수진동,특수,39,20,0,19,1,0,19,0,7,6,6,2024-03-31
수정구,단대동,승용,4313,4254,426,56,2616,1156,59,0,0,47,12,2024-03-31
수정구,단대동,승합,155,155,12,8,134,1,0,0,0,0,0,2024-03-31
수정구,단대동,화물,530,443,24,386,24,9,87,2,60,16,9,2024-03-31
수정구,단대동,특수,16,10,0,10,0,0,6,0,3,3,0,2024-03-31
수정구,산성동,승용,1191,1186,151,21,753,261,5,0,0,4,1,2024-03-31
수정구,산성동,승합,61,61,4,5,48,4,0,0,0,0,0,2024-03-31
수정구,산성동,화물,209,165,10,139,16,0,44,2,32,8,2,2024-03-31
수정구,산성동,특수,3,1,0,1,0,0,2,0,2,0,0,2024-03-31
수정구,양지동,승용,2403,2368,257,46,1466,599,35,0,0,27,8,2024-03-31
수정구,양지동,승합,90,90,9,9,71,1,0,0,0,0,0,2024-03-31
수정구,양지동,화물,349,292,11,259,20,2,57,2,38,13,4,2024-03-31
수정구,양지동,특수,12,9,0,9,0,0,3,0,3,0,0,2024-03-31
수정구,복정동,승용,3693,3683,400,47,2246,990,10,0,0,6,4,2024-03-31
수정구,복정동,승합,121,119,5,3,84,27,2,0,0,2,0,2024-03-31
수정구,복정동,화물,608,509,13,433,46,17,99,2,71,7,19,2024-03-31
수정구,복정동,특수,31,18,0,6,8,4,13,0,4,0,9,2024-03-31
수정구,창곡동,승용,17273,16598,937,117,9710,5834,675,78,0,334,263,2024-03-31
수정구,창곡동,승합,327,251,36,8,202,5,76,5,0,37,34,2024-03-31
수정구,창곡동,화물,1323,871,43,761,51,16,452,5,176,118,153,2024-03-31
수정구,창곡동,특수,68,34,0,33,1,0,34,0,6,4,24,2024-03-31
수정구,신촌동,승용,284,284,23,3,153,105,0,0,0,0,0,2024-03-31
수정구,신촌동,승합,15,15,0,2,11,2,0,0,0,0,0,2024-03-31
수정구,신촌동,화물,66,64,2,52,9,1,2,1,0,1,0,2024-03-31
수정구,신촌동,특수,26,26,0,26,0,0,0,0,0,0,0,2024-03-31
수정구,오야동,승용,345,345,26,4,195,120,0,0,0,0,0,2024-03-31
수정구,오야동,승합,9,9,0,0,9,0,0,0,0,0,0,2024-03-31
수정구,오야동,화물,61,60,1,54,5,0,1,0,1,0,0,2024-03-31
수정구,오야동,특수,1,1,0,1,0,0,0,0,0,0,0,2024-03-31
수정구,심곡동,승용,1357,1356,197,9,797,353,1,0,0,0,1,2024-03-31
수정구,심곡동,승합,25,25,3,2,19,1,0,0,0,0,0,2024-03-31
수정구,심곡동,화물,91,89,0,80,8,1,2,0,2,0,0,2024-03-31
수정구,심곡동,특수,4,4,0,4,0,0,0,0,0,0,0,2024-03-31
수정구,고등동,승용,4473,4453,321,29,2787,1316,20,0,0,18,2,2024-03-31
수정구,고등동,승합,68,68,9,2,57,0,0,0,0,0,0,2024-03-31
수정구,고등동,화물,351,316,3,270,32,11,35,1,21,9,4,2024-03-31
수정구,고등동,특수,15,6,0,5,1,0,9,0,5,2,2,2024-03-31
수정구,상적동,승용,409,408,31,5,198,174,1,0,0,1,0,2024-03-31
수정구,상적동,승합,13,13,1,0,12,0,0,0,0,0,0,2024-03-31
수정구,상적동,화물,62,57,0,54,3,0,5,0,1,3,1,2024-03-31
수정구,상적동,특수,2,2,0,1,1,0,0,0,0,0,0,2024-03-31
수정구,시흥동,승용,1063,1063,90,9,528,436,0,0,0,0,0,2024-03-31
수정구,시흥동,승합,36,36,1,1,27,7,0,0,0,0,0,2024-03-31
수정구,시흥동,화물,208,204,5,150,46,3,4,0,3,1,0,2024-03-31
수정구,시흥동,특수,4,4,0,2,2,0,0,0,0,0,0,2024-03-31
수정구,금토동,승용,509,509,39,6,305,159,0,0,0,0,0,2024-03-31
수정구,금토동,승합,24,24,0,0,23,1,0,0,0,0,0,2024-03-31
수정구,금토동,화물,56,54,0,43,8,3,2,0,1,0,1,2024-03-31
