주상병코드,주상병명,진료년도,수진자 주소지,연령,성별,진료건수(건),진료비(천원)
F50,식사장애,2018년,서울특별시,0세,남자,3,56
F50,식사장애,2018년,서울특별시,0세,여자,8,144
F50,식사장애,2018년,서울특별시,1세,남자,14,366
F50,식사장애,2018년,서울특별시,1세,여자,16,272
F50,식사장애,2018년,서울특별시,2세,남자,11,487
F50,식사장애,2018년,서울특별시,2세,여자,11,245
F50,식사장애,2018년,서울특별시,3세,남자,9,183
F50,식사장애,2018년,서울특별시,3세,여자,8,223
F50,식사장애,2018년,서울특별시,4세,남자,11,232
F50,식사장애,2018년,서울특별시,4세,여자,5,102
F50,식사장애,2018년,서울특별시,5세,남자,2,63
F50,식사장애,2018년,서울특별시,5세,여자,3,45
F50,식사장애,2018년,서울특별시,6세,남자,6,148
F50,식사장애,2018년,서울특별시,6세,여자,6,168
F50,식사장애,2018년,서울특별시,7세,남자,2,40
F50,식사장애,2018년,서울특별시,7세,여자,6,187
F50,식사장애,2018년,서울특별시,8세,남자,1,15
F50,식사장애,2018년,서울특별시,8세,여자,4,59
F50,식사장애,2018년,서울특별시,9세,남자,3,64
F50,식사장애,2018년,서울특별시,10세,남자,2,66
F50,식사장애,2018년,서울특별시,10세,여자,11,755
F50,식사장애,2018년,서울특별시,11세,남자,2,137
F50,식사장애,2018년,서울특별시,11세,여자,37,16127
F50,식사장애,2018년,서울특별시,12세,남자,4,223
F50,식사장애,2018년,서울특별시,12세,여자,9,3082
F50,식사장애,2018년,서울특별시,13세,여자,35,5177
F50,식사장애,2018년,서울특별시,14세,남자,14,723
F50,식사장애,2018년,서울특별시,14세,여자,81,6759
F50,식사장애,2018년,서울특별시,15세,남자,9,6367
F50,식사장애,2018년,서울특별시,15세,여자,236,47574
F50,식사장애,2018년,서울특별시,16세,남자,1,11
F50,식사장애,2018년,서울특별시,16세,여자,66,11149
F50,식사장애,2018년,서울특별시,17세,남자,37,3030
F50,식사장애,2018년,서울특별시,17세,여자,67,4623
F50,식사장애,2018년,서울특별시,18세,남자,69,3508
F50,식사장애,2018년,서울특별시,18세,여자,180,15828
F50,식사장애,2018년,서울특별시,19세,남자,19,3166
F50,식사장애,2018년,서울특별시,19세,여자,267,52904
F50,식사장애,2018년,서울특별시,20세,남자,14,1126
F50,식사장애,2018년,서울특별시,20세,여자,151,16559
F50,식사장애,2018년,서울특별시,21세,남자,26,1440
F50,식사장애,2018년,서울특별시,21세,여자,370,79774
F50,식사장애,2018년,서울특별시,22세,남자,11,456
F50,식사장애,2018년,서울특별시,22세,여자,293,35137
F50,식사장애,2018년,서울특별시,23세,남자,80,4028
F50,식사장애,2018년,서울특별시,23세,여자,353,22800
F50,식사장애,2018년,서울특별시,24세,남자,48,2627
F50,식사장애,2018년,서울특별시,24세,여자,332,27151
F50,식사장애,2018년,서울특별시,25세,남자,26,8239
F50,식사장애,2018년,서울특별시,25세,여자,218,18450
F50,식사장애,2018년,서울특별시,26세,남자,35,3339
F50,식사장애,2018년,서울특별시,26세,여자,307,33361
F50,식사장애,2018년,서울특별시,27세,남자,37,1185
F50,식사장애,2018년,서울특별시,27세,여자,324,21341
F50,식사장애,2018년,서울특별시,28세,남자,12,652
F50,식사장애,2018년,서울특별시,28세,여자,257,15764
F50,식사장애,2018년,서울특별시,29세,남자,16,607
F50,식사장애,2018년,서울특별시,29세,여자,366,21037
F50,식사장애,2018년,서울특별시,30세,남자,24,29234
F50,식사장애,2018년,서울특별시,30세,여자,295,19475
F50,식사장애,2018년,서울특별시,31세,남자,7,533
F50,식사장애,2018년,서울특별시,31세,여자,231,14178
F50,식사장애,2018년,서울특별시,32세,남자,1,30
F50,식사장애,2018년,서울특별시,32세,여자,244,17415
F50,식사장애,2018년,서울특별시,33세,남자,7,616
F50,식사장애,2018년,서울특별시,33세,여자,100,9064
F50,식사장애,2018년,서울특별시,34세,남자,1,15
F50,식사장애,2018년,서울특별시,34세,여자,127,7234
F50,식사장애,2018년,서울특별시,35세,남자,31,1717
F50,식사장애,2018년,서울특별시,35세,여자,151,10226
F50,식사장애,2018년,서울특별시,36세,남자,14,483
F50,식사장애,2018년,서울특별시,36세,여자,125,8045
F50,식사장애,2018년,서울특별시,37세,남자,7,396
F50,식사장애,2018년,서울특별시,37세,여자,87,3828
F50,식사장애,2018년,서울특별시,38세,여자,91,5773
F50,식사장애,2018년,서울특별시,39세,남자,11,638
F50,식사장애,2018년,서울특별시,39세,여자,111,4398
F50,식사장애,2018년,서울특별시,40세,남자,13,532
F50,식사장애,2018년,서울특별시,40세,여자,59,3370
F50,식사장애,2018년,서울특별시,41세,남자,2,98
F50,식사장애,2018년,서울특별시,41세,여자,98,3779
F50,식사장애,2018년,서울특별시,42세,남자,1,63
F50,식사장애,2018년,서울특별시,42세,여자,60,27897
F50,식사장애,2018년,서울특별시,43세,여자,97,5246
F50,식사장애,2018년,서울특별시,44세,여자,58,1666
F50,식사장애,2018년,서울특별시,45세,남자,1,27
F50,식사장애,2018년,서울특별시,45세,여자,75,3604
F50,식사장애,2018년,서울특별시,46세,남자,6,160
F50,식사장애,2018년,서울특별시,46세,여자,83,2409
F50,식사장애,2018년,서울특별시,47세,남자,2,56
F50,식사장애,2018년,서울특별시,47세,여자,43,2951
F50,식사장애,2018년,서울특별시,48세,남자,5,197
