품목,등급,단량,단위,평균가
가지(가지(일반)),특(1등            ,5,kg,32851
가지(가지(일반)),상(2등            ,5,kg,28620
가지(가지(일반)),보통(3            ,5,kg,23200
가지(가지(일반)),특(1등            ,5,kg,29667
가지(가지(일반)),상(2등            ,5,kg,25808
가지(가지(일반)),보통(3            ,5,kg,28000
가지(가지(일반)),9등(등            ,5,kg,20000
가지(가지(일반)),특(1등            ,5,kg,30982
가지(가지(일반)),상(2등            ,5,kg,26609
가지(가지(일반)),보통(3            ,5,kg,23167
가지(가지(일반)),특(1등            ,5,kg,28139
가지(가지(일반)),상(2등            ,5,kg,24495
가지(가지(일반)),보통(3            ,5,kg,24833
가지(가지(일반)),특(1등            ,5,kg,26963
가지(가지(일반)),상(2등            ,5,kg,24284
가지(가지(일반)),보통(3            ,5,kg,22875
가지(가지(일반)),특(1등            ,5,kg,24562
가지(가지(일반)),상(2등            ,5,kg,22678
가지(가지(일반)),보통(3            ,5,kg,20619
가지(가지(일반)),특(1등            ,5,kg,25431
가지(가지(일반)),상(2등            ,5,kg,21653
가지(가지(일반)),보통(3            ,5,kg,22571
가지(가지(일반)),특(1등            ,5,kg,23654
가지(가지(일반)),상(2등            ,5,kg,20231
가지(가지(일반)),보통(3            ,5,kg,16130
가지(가지(일반)),특(1등            ,5,kg,22738
가지(가지(일반)),상(2등            ,5,kg,18060
가지(가지(일반)),보통(3            ,5,kg,17929
가지(가지(일반)),9등(등            ,5,kg,18000
가지(가지(일반)),특(1등            ,5,kg,22704
가지(가지(일반)),상(2등            ,5,kg,17204
가지(가지(일반)),보통(3            ,5,kg,13417
가지(가지(일반)),9등(등            ,5,kg,16500
가지(가지(일반)),특(1등            ,5,kg,24301
가지(가지(일반)),상(2등            ,5,kg,20014
가지(가지(일반)),보통(3            ,5,kg,14444
가지(가지(일반)),특(1등            ,5,kg,24111
가지(가지(일반)),상(2등            ,5,kg,18593
가지(가지(일반)),보통(3            ,5,kg,15600
가지(가지(일반)),특(1등            ,5,kg,24411
가지(가지(일반)),상(2등            ,5,kg,19759
가지(가지(일반)),보통(3            ,5,kg,16667
가지(가지(일반)),9등(등            ,5,kg,17000
가지(가지(일반)),특(1등            ,5,kg,24636
가지(가지(일반)),상(2등            ,5,kg,20032
가지(가지(일반)),보통(3            ,5,kg,16286
가지(가지(일반)),특(1등            ,5,kg,26378
가지(가지(일반)),상(2등            ,5,kg,21219
가지(가지(일반)),보통(3            ,5,kg,19444
가지(가지(일반)),특(1등            ,5,kg,26059
가지(가지(일반)),상(2등            ,5,kg,20103
가지(가지(일반)),보통(3            ,5,kg,17538
가지(가지(일반)),특(1등            ,5,kg,25175
가지(가지(일반)),상(2등            ,5,kg,20741
가지(가지(일반)),보통(3            ,5,kg,17000
가지(가지(일반)),특(1등            ,5,kg,24451
가지(가지(일반)),상(2등            ,5,kg,20010
가지(가지(일반)),보통(3            ,5,kg,19571
가지(가지(일반)),특(1등            ,5,kg,23504
가지(가지(일반)),상(2등            ,5,kg,20140
가지(가지(일반)),보통(3            ,5,kg,19778
가지(가지(일반)),특(1등            ,5,kg,23008
가지(가지(일반)),상(2등            ,5,kg,18911
가지(가지(일반)),보통(3            ,5,kg,14889
가지(가지(일반)),특(1등            ,5,kg,20949
가지(가지(일반)),상(2등            ,5,kg,16831
가지(가지(일반)),보통(3            ,5,kg,15286
가지(가지(일반)),9등(등            ,5,kg,19000
가지(가지(일반)),특(1등            ,5,kg,22229
가지(가지(일반)),상(2등            ,5,kg,16536
가지(가지(일반)),보통(3            ,5,kg,16000
가지(가지(일반)),특(1등            ,5,kg,22642
가지(가지(일반)),상(2등            ,5,kg,18953
가지(가지(일반)),보통(3            ,5,kg,13333
가지(가지(일반)),특(1등            ,5,kg,21624
가지(가지(일반)),상(2등            ,5,kg,17238
가지(가지(일반)),보통(3            ,5,kg,15182
가지(가지(일반)),특(1등            ,5,kg,22810
가지(가지(일반)),상(2등            ,5,kg,18543
가지(가지(일반)),보통(3            ,5,kg,11000
가지(가지(일반)),특(1등            ,5,kg,21973
가지(가지(일반)),상(2등            ,5,kg,18181
가지(가지(일반)),보통(3            ,5,kg,13417
가지(가지(일반)),9등(등            ,5,kg,15000
가지(건가지),특(1등            ,1.12,kg,13000
가지(건가지),특(1등            ,0.07,kg,1200
가지(기타),특(1등            ,1,kg,22000
가지(기타),특(1등            ,1,kg,22000
감귤(기타),없음              ,10,kg,30000
감귤(기타),특(1등            ,10,kg,60927
감귤(기타),상(2등            ,3,kg,23940
감귤(기타),특(1등            ,10,kg,68095
감귤(기타),없음              ,5,kg,30000
감귤(기타),특(1등            ,5,kg,50000
감귤(기타),상(2등            ,5,kg,37000
감귤(기타),없음              ,9,kg,30000
감귤(기타),특(1등            ,9,kg,60000
감귤(기타),상(2등            ,10,kg,7000
감귤(기타),상(2등            ,5,kg,35688
감귤(기타),특(1등            ,10,kg,52727
감귤(기타),특(1등            ,3,kg,21507
감귤(기타),없음              ,9,kg,42000
감귤(기타),특(1등            ,9,kg,58933
감귤(기타),특(1등            ,10,kg,28000
감귤(기타),특(1등            ,3,kg,19500
감귤(기타),특(1등            ,5,kg,28304
감귤(기타),특(1등            ,9,kg,62877
감귤(기타),상(2등            ,5,kg,35015
감귤(기타),상(2등            ,5,kg,39306
감귤(기타),상(2등            ,5,kg,36174
감귤(기타),특(1등            ,0.5,kg,4700
감귤(기타),특(1등            ,3,kg,16184
감귤(기타),없음              ,9,kg,30000
감귤(기타),특(1등            ,9,kg,60000
감귤(기타),없음              ,8,kg,18000
감귤(기타),특(1등            ,10,kg,44438
감귤(기타),특(1등            ,5,kg,9340
감귤(기타),특(1등            ,9,kg,37932
감귤(기타),없음              ,9,kg,30000
감귤(기타),특(1등            ,9,kg,55000
감귤(기타),없음              ,9,kg,30000
감귤(기타),특(1등            ,9,kg,55029
감귤(기타),없음              ,10,kg,28000
감귤(기타),특(1등            ,10,kg,59165
감귤(기타),특(1등            ,3,kg,19650
감귤(기타),특(1등            ,9,kg,31000
감귤(기타),특(1등            ,3,kg,19683
